sectorticker,date,close,open,high,low,volume,pct-change
xej,2021-07-11,8167.20,8266.50,8391.80,8139.20,43.41M,-1.20%,
xej,2021-07-04,8266.50,8158.20,8510.70,8155.60,210.30M,1.33%,
xej,2021-06-27,8158.20,8118.00,8195.40,7968.30,202.00M,0.50%,
xej,2021-06-20,8118.00,8296.50,8373.30,8078.30,428.00M,-2.15%,
xej,2021-06-13,8296.50,8483.80,8670.60,8261.80,215.96M,-2.21%,
xej,2021-06-06,8483.80,8535.80,8619.80,8380.70,212.11M,-0.61%,
xej,2021-05-30,8535.80,7867.10,8535.80,7727.30,248.77M,8.50%,
xej,2021-05-23,7867.10,7699.30,7900.60,7678.60,220.07M,2.18%,
xej,2021-05-16,7699.30,7869.20,8099.00,7664.60,245.49M,-2.16%,
xej,2021-05-09,7869.20,8024.70,8120.90,7694.80,226.74M,-1.94%,
xej,2021-05-02,8024.70,7880.90,8041.70,7793.70,239.87M,1.82%,
xej,2021-04-25,7880.90,7915.20,8069.20,7847.60,328.13M,-0.43%,
xej,2021-04-18,7915.20,8273.70,8277.00,7799.50,234.25M,-4.33%,
xej,2021-04-11,8273.70,8371.50,8457.00,8227.90,297.44M,-1.17%,
xej,2021-04-04,8371.50,8287.60,8477.20,8235.90,141.14M,1.01%,
xej,2021-03-28,8287.60,8439.50,8576.10,8238.60,157.06M,-1.80%,
xej,2021-03-21,8439.50,8272.80,8534.10,8245.80,211.78M,2.02%,
xej,2021-03-14,8272.80,8489.70,8598.80,8151.60,281.88M,-2.55%,
xej,2021-03-07,8489.70,8575.00,8741.30,8241.00,386.16M,-0.99%,
xej,2021-02-28,8575.00,8330.50,8600.60,8259.10,242.47M,2.93%,
xej,2021-02-21,8330.50,8124.50,8647.50,7996.70,288.79M,2.54%,
xej,2021-02-14,8124.50,8260.60,8619.40,8107.30,288.70M,-1.65%,
xej,2021-02-07,8260.60,8394.10,8543.90,8228.50,192.26M,-1.59%,
xej,2021-01-31,8394.10,8162.60,8536.40,7876.60,261.46M,2.84%,
xej,2021-01-24,8162.60,8958.80,8958.80,8118.20,202.91M,-8.89%,
xej,2021-01-17,8958.80,9045.00,9244.50,8819.80,225.48M,-0.95%,
